SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
State or DC
GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
93000,Great Lakes,19892,20886,22039,23433,24220,24937,25959,27201,28502,29595,30691,31377,30782,31809,32942,33812,34621,35750,36751,37845,39247,40756,41730,41019,45921,49906
94000,Plains,20102,21059,22312,23746,24634,25403,26550,27907,29162,30337,31425,32411,31819,32773,34067,34988,35652,36659,37433,38338,39521,40937,41764,40798,45444,49162
95000,Southeast,19309,20168,21262,22543,23253,23869,24881,26246,27728,29148,30261,30698,29901,30764,31821,32546,33255,34408,35381,36276,37517,39006,40135,39751,45002,48758
96000,Southwest,18887,19831,20878,22211,23018,23501,24373,25571,27122,28313,29448,30080,29323,30212,31449,32330,33181,34468,35250,35964,37319,38758,39762,39526,44673,48329
97000,Rocky Mountain,19897,20840,22083,23608,24365,24911,25888,27291,28718,30129,31511,32007,30941,31466,32592,33268,34282,35732,36747,37951,39541,41269,42754,42514,48497,53075
98000,Far West,21044,22031,23313,24920,25714,26488,27642,29242,31023,32747,34358,35062,33717,34518,35680,36713,37590,38975,40391,41780,43685,46008,47837,46622,53299,58466

Legend/Footnotes
"1. Per capita PCE estimates are in current dollars. Per capita values are computed from unrounded data. BEA produced intercensal population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita PCE statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data."
"  Last updated: October 4, 2023-- new statistics for 2022; revised statistics for 1997-2021."
