"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.666368,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.693266,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.758509,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,0.929127,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.012973,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1970","1970","INR","Indian Rupee","0","Units",,,2.847075,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1971","1971","INR","Indian Rupee","0","Units",,,2.849501,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1972","1972","INR","Indian Rupee","0","Units",,,3.025621,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1973","1973","INR","Indian Rupee","0","Units",,,3.382865,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1974","1974","INR","Indian Rupee","0","Units",,,3.599771,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1975","1975","INR","Indian Rupee","0","Units",,,3.217223,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1976","1976","INR","Indian Rupee","0","Units",,,3.22959,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1977","1977","INR","Indian Rupee","0","Units",,,3.224656,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1978","1978","INR","Indian Rupee","0","Units",,,3.081847,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1979","1979","INR","Indian Rupee","0","Units",,,3.265358,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1980","1980","INR","Indian Rupee","0","Units",,,3.347865,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1981","1981","INR","Indian Rupee","0","Units",,,3.379142,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1982","1982","INR","Indian Rupee","0","Units",,,3.429847,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1983","1983","INR","Indian Rupee","0","Units",,,3.596462,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1984","1984","INR","Indian Rupee","0","Units",,,3.732936,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1985","1985","INR","Indian Rupee","0","Units",,,3.85735,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1986","1986","INR","Indian Rupee","0","Units",,,4.421835,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1987","1987","INR","Indian Rupee","0","Units",,,4.717656,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1988","1988","INR","Indian Rupee","0","Units",,,4.932062,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1989","1989","INR","Indian Rupee","0","Units",,,5.146414,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1990","1990","INR","Indian Rupee","0","Units",,,5.495992,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1991","1991","INR","Indian Rupee","0","Units",,,6.047286,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1992","1992","INR","Indian Rupee","0","Units",,,6.442613,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1993","1993","INR","Indian Rupee","0","Units",,,6.914083,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1994","1994","INR","Indian Rupee","0","Units",,,7.445126,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1995","1995","INR","Indian Rupee","0","Units",,,7.953088,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1996","1996","INR","Indian Rupee","0","Units",,,8.401703,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1997","1997","INR","Indian Rupee","0","Units",,,8.794171,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1998","1998","INR","Indian Rupee","0","Units",,,9.392878,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","INR","Indian Rupee","0","Units",,,9.546556,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","INR","Indian Rupee","0","Units",,,9.675326,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","INR","Indian Rupee","0","Units",,,9.766415,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1990","1990","PLN","Zloty","0","Units",,,0.23548,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1991","1991","PLN","Zloty","0","Units",,,0.375156,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1992","1992","PLN","Zloty","0","Units",,,0.518194,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1993","1993","PLN","Zloty","0","Units",,,0.664141,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1994","1994","PLN","Zloty","0","Units",,,0.883057,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1995","1995","PLN","Zloty","0","Units",,,1.105527,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1996","1996","PLN","Zloty","0","Units",,,1.286874,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1997","1997","PLN","Zloty","0","Units",,,1.447029,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1998","1998","PLN","Zloty","0","Units",,,1.585549,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1999","1999","PLN","Zloty","0","Units",,,1.662804,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2000","2000","PLN","Zloty","0","Units",,,1.711974,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2001","2001","PLN","Zloty","0","Units",,,1.732107,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1970","1970","GBP","Pound Sterling","0","Units",,,0.313019,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1971","1971","GBP","Pound Sterling","0","Units",,,0.325865,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1972","1972","GBP","Pound Sterling","0","Units",,,0.335671,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1973","1973","GBP","Pound Sterling","0","Units",,,0.346167,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1974","1974","GBP","Pound Sterling","0","Units",,,0.370453,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1975","1975","GBP","Pound Sterling","0","Units",,,0.425393,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1976","1976","GBP","Pound Sterling","0","Units",,,0.466068,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1977","1977","GBP","Pound Sterling","0","Units",,,0.498796,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1978","1978","GBP","Pound Sterling","0","Units",,,0.512439,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1979","1979","GBP","Pound Sterling","0","Units",,,0.535481,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1980","1980","GBP","Pound Sterling","0","Units",,,0.567448,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1981","1981","GBP","Pound Sterling","0","Units",,,0.5815,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1982","1982","GBP","Pound Sterling","0","Units",,,0.598282,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1983","1983","GBP","Pound Sterling","0","Units",,,0.608145,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1984","1984","GBP","Pound Sterling","0","Units",,,0.617738,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1985","1985","GBP","Pound Sterling","0","Units",,,0.630521,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1986","1986","GBP","Pound Sterling","0","Units",,,0.641212,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1987","1987","GBP","Pound Sterling","0","Units",,,0.65467,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1988","1988","GBP","Pound Sterling","0","Units",,,0.66494,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1989","1989","GBP","Pound Sterling","0","Units",,,0.676008,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1990","1990","GBP","Pound Sterling","0","Units",,,0.699603,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1991","1991","GBP","Pound Sterling","0","Units",,,0.734344,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1992","1992","GBP","Pound Sterling","0","Units",,,0.744383,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1993","1993","GBP","Pound Sterling","0","Units",,,0.73932,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1994","1994","GBP","Pound Sterling","0","Units",,,0.739519,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1995","1995","GBP","Pound Sterling","0","Units",,,0.746495,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1996","1996","GBP","Pound Sterling","0","Units",,,0.740722,,
